name,source,transformation,as_of_logic,dtype,description
modification_flag_rollmax_6,modification,modification_flag_rollmax_6,reporting_month,float,modification_flag_rollmax_6
modification_flag_rollmean_12,modification,modification_flag_rollmean_12,reporting_month,float,modification_flag_rollmean_12
modification_flag_rollstd_12,modification,modification_flag_rollstd_12,reporting_month,float,modification_flag_rollstd_12
modification_flag_rollmax_12,modification,modification_flag_rollmax_12,reporting_month,float,modification_flag_rollmax_12
balance_ratio_rollmean_3,balance,balance_ratio_rollmean_3,reporting_month,float,balance_ratio_rollmean_3
balance_ratio_rollstd_3,balance,balance_ratio_rollstd_3,reporting_month,float,balance_ratio_rollstd_3
balance_ratio_rollmax_3,balance,balance_ratio_rollmax_3,reporting_month,float,balance_ratio_rollmax_3
balance_ratio_rollmean_6,balance,balance_ratio_rollmean_6,reporting_month,float,balance_ratio_rollmean_6
balance_ratio_rollstd_6,balance,balance_ratio_rollstd_6,reporting_month,float,balance_ratio_rollstd_6
balance_ratio_rollmax_6,balance,balance_ratio_rollmax_6,reporting_month,float,balance_ratio_rollmax_6
balance_ratio_rollmean_12,balance,balance_ratio_rollmean_12,reporting_month,float,balance_ratio_rollmean_12
balance_ratio_rollstd_12,balance,balance_ratio_rollstd_12,reporting_month,float,balance_ratio_rollstd_12
balance_ratio_rollmax_12,balance,balance_ratio_rollmax_12,reporting_month,float,balance_ratio_rollmax_12
current_balance_lag1,current,current_balance_lag1,reporting_month,float,current_balance_lag1
current_balance_lag2,current,current_balance_lag2,reporting_month,float,current_balance_lag2
current_balance_lag3,current,current_balance_lag3,reporting_month,float,current_balance_lag3
current_balance_lag6,current,current_balance_lag6,reporting_month,float,current_balance_lag6
days_past_due_lag1,days,days_past_due_lag1,reporting_month,float,days_past_due_lag1
days_past_due_lag2,days,days_past_due_lag2,reporting_month,float,days_past_due_lag2
days_past_due_lag3,days,days_past_due_lag3,reporting_month,float,days_past_due_lag3
days_past_due_lag6,days,days_past_due_lag6,reporting_month,float,days_past_due_lag6
current_status_encoded_lag1,current,current_status_encoded_lag1,reporting_month,float,current_status_encoded_lag1
current_status_encoded_lag2,current,current_status_encoded_lag2,reporting_month,float,current_status_encoded_lag2
current_status_encoded_lag3,current,current_status_encoded_lag3,reporting_month,float,current_status_encoded_lag3
current_status_encoded_lag6,current,current_status_encoded_lag6,reporting_month,float,current_status_encoded_lag6
is_delinquent_lag1,is,is_delinquent_lag1,reporting_month,float,is_delinquent_lag1
is_delinquent_lag2,is,is_delinquent_lag2,reporting_month,float,is_delinquent_lag2
is_delinquent_lag3,is,is_delinquent_lag3,reporting_month,float,is_delinquent_lag3
is_delinquent_lag6,is,is_delinquent_lag6,reporting_month,float,is_delinquent_lag6
modification_flag_lag1,modification,modification_flag_lag1,reporting_month,float,modification_flag_lag1
modification_flag_lag2,modification,modification_flag_lag2,reporting_month,float,modification_flag_lag2
modification_flag_lag3,modification,modification_flag_lag3,reporting_month,float,modification_flag_lag3
modification_flag_lag6,modification,modification_flag_lag6,reporting_month,float,modification_flag_lag6
balance_ratio_lag1,balance,balance_ratio_lag1,reporting_month,float,balance_ratio_lag1
balance_ratio_lag2,balance,balance_ratio_lag2,reporting_month,float,balance_ratio_lag2
balance_ratio_lag3,balance,balance_ratio_lag3,reporting_month,float,balance_ratio_lag3
balance_ratio_lag6,balance,balance_ratio_lag6,reporting_month,float,balance_ratio_lag6
balance_3m_change,balance,balance_3m_change,reporting_month,float,balance_3m_change
balance_3m_pct_change,balance,balance_3m_pct_change,reporting_month,float,balance_3m_pct_change
dq_streak,dq,dq_streak,reporting_month,float,dq_streak
months_since_dq,months,months_since_dq,reporting_month,float,months_since_dq
